ID,Mountain Peak,Mountain Range,Elevation_ft,fourteener,Prominence_ft,Isolation_mi,Lat,Long,Standard Route,Distance_mi,Elevation Gain_ft,Difficulty,Traffic Low,Traffic High,photo
32,Windom Peak,San Juan Mountains,14093,Y,2187,26.4,37.6212,-107.5919,West Ridge ,17,6000,Hard Class 2,3000,5000,https://www.14ers.com/photos/windomgroup/peakphotos/large/200607_Wind01.jpg
33,Mount Eolus,San Juan Mountains,14090,Y,1024,1.69,37.6218,-107.6227,Northeast Ridge ,17,6100,Class 3,3000,5000,https://www.14ers.com/photos/windomgroup/peakphotos/large/200607_Eolus01.jpg
34,Challenger Point,Sangre de Cristo Range,14087,Y,301,0.22,37.9804,-105.6066,North Slope ,12.5,5400,Hard Class 2,1000,3000,https://www.14ers.com/photos/kitcarsongroup/peakphotos/large/200707_chal01.jpg
35,Mount Columbia,Sawatch Range,14077,Y,893,1.9,38.9039,-106.2975,West Slopes ,11.5,4250,Class 2,3000,5000,https://www.14ers.com/photos/harvardgroup/peakphotos/large/201005_Colu01.jpg
36,Missouri Mountain,Sawatch Range,14074,Y,847,1.31,38.9476,-106.3785,Northwest Ridge ,10.5,4500,Class 2,3000,5000,https://www.14ers.com/photos/belfordgroup/peakphotos/large/200706_Miss01.jpg
37,Humboldt Peak,Sangre de Cristo Range,14070,Y,1204,1.41,37.9762,-105.5552,West Ridge ,11,4200,Class 2,1000,3000,https://www.14ers.com/photos/crestonegroup/peakphotos/large/201607_Humb01.jpg
38,Mount Bierstadt,Front Range,14065,Y,720,1.12,39.5826,-105.6688,West Slopes ,7,2850,Class 2,35000,40000,https://www.14ers.com/photos/evansgroup/peakphotos/large/200607_Bier01.jpg
39,Sunlight Peak,San Juan Mountains,14065,Y,399,0.48,37.6274,-107.5959,South Face ,17,6000,Class 4,3000,5000,https://www.14ers.com/photos/windomgroup/peakphotos/large/200708_Sunl01.jpg
40,Handies Peak,San Juan Mountains,14058,Y,1908,11.18,37.913,-107.5044,Southwest Slopes ,5.75,2500,Class 1,5000,7000,https://www.14ers.com/photos/handiespeak/peakphotos/large/200707_Hand03.jpg
41,Culebra Peak,Sangre de Cristo Range,14053,Y,4827,35.5,37.1224,-105.1858,Northwest Ridge ,5,2700,Class 2,1000,3000,https://www.14ers.com/photos/culebrapeak/peakphotos/large/201508_Cule01.jpg
42,Ellingwood Point,Sangre de Cristo Range,14048,Y,342,0.52,37.5826,-105.4927,South Face ,17,6200,Hard Class 2,1000,3000,https://www.14ers.com/photos/blancagroup/peakphotos/large/200607_Elli01.jpg
43,Mount Lindsey,Sangre de Cristo Range,14048,Y,1542,2.26,37.5837,-105.4449,Northwest Gully ,8.25,3500,Easy Class 3,1000,3000,https://www.14ers.com/photos/mtlindsey/peakphotos/large/200606_Lind01.jpg
44,Little Bear Peak,Sangre de Cristo Range,14043,Y,377,0.98,37.5666,-105.4972,West Ridge and Southwest Face ,14,6200,Class 4,1000,3000,https://www.14ers.com/photos/blancagroup/peakphotos/large/200607_Litt01.jpg
